table,column,foreign_table,foreign_column,constraint_name
article_moderation_logs,moderated_by,profiles,user_id,article_moderation_logs_moderated_by_fkey
article_moderation_logs,article_id,articles,id,article_moderation_logs_article_id_fkey
article_views,article_id,articles,id,article_views_article_id_fkey
articles,author_id,profiles,user_id,articles_author_id_fkey
assignment_bookings,assignment_id,class_assignments,id,assignment_bookings_assignment_id_fkey
assignment_bookings,booking_id,bookings,booking_id,assignment_bookings_booking_id_fkey
bookings,class_package_id,class_packages,id,bookings_class_package_id_fkey
bookings,instructor_id,profiles,user_id,bookings_instructor_id_fkey
class_assignment_templates,package_id,class_packages,id,templates_package_fkey
class_assignment_templates,class_type_id,class_types,id,templates_class_type_fkey
class_assignments,package_id,class_packages,id,class_assignments_package_id_fkey
class_assignments,rescheduled_from_id,class_assignments,id,class_assignments_rescheduled_from_fk
class_assignments,rescheduled_to_id,class_assignments,id,class_assignments_rescheduled_to_fk
class_assignments,scheduled_class_id,class_schedules,id,class_assignments_scheduled_class_id_fkey
class_assignments,class_type_id,class_types,id,class_assignments_class_type_id_fkey
class_assignments,class_package_id,class_packages,id,class_assignments_class_package_id_fkey
class_attendance,assignment_id,class_assignments,id,class_attendance_assignment_id_fkey
class_attendance,makeup_of_assignment_id,class_assignments,id,class_attendance_makeup_of_assignment_id_fkey
class_bookings,profile_id,profiles,user_id,class_bookings_profile_id_fkey
class_feedback,booking_id,class_bookings,id,class_feedback_booking_id_fkey
class_feedback,scheduled_class_id,scheduled_classes,id,class_feedback_scheduled_class_id_fkey
class_ratings,assignment_id,class_assignments,id,class_ratings_assignment_id_fkey
class_schedules,class_type_id,class_types,id,class_schedules_class_type_id_fkey
class_schedules,instructor_id,profiles,user_id,class_schedules_instructor_id_fkey
instructor_availability,instructor_id,profiles,user_id,instructor_availability_instructor_id_fkey
instructor_rates,class_type_id,class_types,id,instructor_rates_class_type_id_fkey
instructor_rates,package_id,class_packages,id,instructor_rates_package_id_fkey
instructor_ratings,student_id,profiles,user_id,instructor_ratings_student_id_fkey
instructor_ratings,booking_id,bookings,id,instructor_ratings_booking_id_fkey
instructor_ratings,instructor_id,profiles,user_id,instructor_ratings_instructor_id_fkey
manual_class_selections,class_type_id,class_types,id,manual_selections_class_type_fkey
manual_class_selections,package_id,class_packages,id,manual_selections_package_fkey
ratings,article_id,articles,id,ratings_article_id_fkey
scheduled_classes,instructor_id,profiles,user_id,scheduled_classes_instructor_id_fkey
scheduled_classes,class_type_id,class_types,id,scheduled_classes_class_type_id_fkey
transactions,subscription_id,user_subscriptions,id,transactions_subscription_id_fkey
user_packages,package_id,class_packages,id,user_packages_package_id_fkey
user_roles,role_id,roles,id,user_roles_role_id_fkey
user_subscriptions,plan_id,subscription_plans,id,user_subscriptions_plan_id_fkey
waitlist,scheduled_class_id,scheduled_classes,id,waitlist_scheduled_class_id_fkey
