schemaname,tablename,policyname,permissive,roles,qual,with_check
auth,users,Authenticated users can update their own row,PERMISSIVE,{authenticated},(id = ( SELECT auth.uid() AS uid)),(id = ( SELECT auth.uid() AS uid))
auth,users,Authenticated users can select their own row,PERMISSIVE,{authenticated},(id = ( SELECT auth.uid() AS uid)),
auth,users,Authenticated users can delete their own row,PERMISSIVE,{authenticated},(id = ( SELECT auth.uid() AS uid)),
auth,users,Anyone can insert (for signup),PERMISSIVE,{anon},,true
public,admin_users,Allow owner insert for triggers,PERMISSIVE,{public},,true
public,admin_users,service_role_access,PERMISSIVE,{service_role},true,true
public,admin_users,Allow owner delete for triggers,PERMISSIVE,{public},true,
public,admin_users,Service role can manage admin_users,PERMISSIVE,{service_role},true,true
public,admin_users,Authenticated can read admin_users,PERMISSIVE,{authenticated},true,
public,admin_users,authenticated_read,PERMISSIVE,{authenticated},true,
public,article_moderation_logs,sangha_guide_insert_logs,PERMISSIVE,{authenticated},,"(EXISTS ( SELECT 1
   FROM ((user_roles ur
     JOIN roles r ON ((ur.role_id = r.id)))
     JOIN profiles p ON ((ur.user_id = p.user_id)))
  WHERE ((ur.user_id = auth.uid()) AND (r.name = 'sangha_guide'::text) AND (p.is_active = true))))"
public,article_moderation_logs,author_select_own_logs,PERMISSIVE,{authenticated},"(EXISTS ( SELECT 1
   FROM articles
  WHERE ((articles.id = article_moderation_logs.article_id) AND (articles.author_id = auth.uid()))))",
public,article_moderation_logs,sangha_guide_select_logs,PERMISSIVE,{authenticated},"(EXISTS ( SELECT 1
   FROM ((user_roles ur
     JOIN roles r ON ((ur.role_id = r.id)))
     JOIN profiles p ON ((ur.user_id = p.user_id)))
  WHERE ((ur.user_id = auth.uid()) AND (r.name = 'sangha_guide'::text) AND (p.is_active = true))))",
public,article_views,Admins can read article views,PERMISSIVE,{authenticated},is_admin(),
public,article_views,Anyone can insert article views,PERMISSIVE,"{anon,authenticated}",,true
public,articles,Authenticated Users can manage their own articles,PERMISSIVE,{authenticated},(author_id = auth.uid()),(author_id = auth.uid())
public,articles,sangha_guide_read_all_articles,PERMISSIVE,{public},has_role('sangha_guide'::text),
public,articles,sangha_guide_update_articles,PERMISSIVE,{public},has_role('sangha_guide'::text),has_role('sangha_guide'::text)
public,articles,Anyone can read published articles,PERMISSIVE,"{anon,authenticated}",(status = 'published'::text),
public,articles,Admins can manage articles,PERMISSIVE,{authenticated},is_admin(),is_admin()
public,blog_posts,Anyone can read published posts,PERMISSIVE,{public},(status = 'published'::post_status),
public,bookings,authenticated_users_select_own,PERMISSIVE,{authenticated},(user_id = auth.uid()),
public,bookings,authenticated_users_insert_own,PERMISSIVE,{authenticated},,(user_id = auth.uid())
public,bookings,Admins can view all bookings,PERMISSIVE,{public},"(EXISTS ( SELECT 1
   FROM (user_roles ur
     JOIN roles r ON ((ur.role_id = r.id)))
  WHERE ((ur.user_id = auth.uid()) AND (r.name = ANY (ARRAY['admin'::text, 'yoga_acharya'::text])))))",
public,bookings,admins_manage_all,PERMISSIVE,{authenticated},is_admin(),is_admin()
public,business_settings,Anyone can read business settings,PERMISSIVE,{public},true,
public,class_assignment_templates,Admins can manage all templates,PERMISSIVE,{public},"(EXISTS ( SELECT 1
   FROM (user_roles ur
     JOIN roles r ON ((ur.role_id = r.id)))
  WHERE ((ur.user_id = auth.uid()) AND (r.name = ANY (ARRAY['admin'::text, 'yoga_acharya'::text])))))",
public,class_assignment_templates,Instructors can view own templates,PERMISSIVE,{public},(instructor_id = auth.uid()),
public,class_assignments,Instructors can view their own assignments,PERMISSIVE,{authenticated},(auth.uid() = instructor_id),
public,class_assignments,sel_assignment_instructor,PERMISSIVE,{public},((instructor_id = auth.uid()) OR is_admin()),
