table,trigger,definition
bookings,booking_id_trigger,EXECUTE FUNCTION set_booking_id()
articles,ensure_article_author_trigger,EXECUTE FUNCTION set_article_author()
contact_messages,set_user_id_trigger,EXECUTE FUNCTION set_contact_message_user_id()
user_roles,sync_admin_users_trigger,EXECUTE FUNCTION sync_admin_users()
user_roles,trg_add_to_admin_users,EXECUTE FUNCTION add_to_admin_users_on_admin_role()
user_roles,trg_sync_admin_users,EXECUTE FUNCTION sync_admin_users()
article_views,update_article_view_count_trigger,EXECUTE FUNCTION update_article_view_count()
class_bookings,update_participant_count_on_insert,EXECUTE FUNCTION update_class_participant_count()
user_roles,trg_sync_admin_users,EXECUTE FUNCTION sync_admin_users()
class_bookings,update_participant_count_on_delete,EXECUTE FUNCTION update_class_participant_count()
class_bookings,promote_from_waitlist_trigger,EXECUTE FUNCTION promote_from_waitlist()
user_roles,sync_admin_users_trigger,EXECUTE FUNCTION sync_admin_users()
class_attendance,trg_class_attendance_updated_at,EXECUTE FUNCTION set_class_attendance_updated_at()
class_ratings,trg_class_ratings_updated_at,EXECUTE FUNCTION set_class_ratings_updated_at()
user_roles,trg_sync_admin_users,EXECUTE FUNCTION sync_admin_users()
admin_users,update_admin_users_updated_at,EXECUTE FUNCTION update_updated_at_column()
articles,update_articles_updated_at,EXECUTE FUNCTION update_updated_at_column()
bookings,update_bookings_updated_at,EXECUTE FUNCTION update_updated_at_column()
class_assignments,update_class_assignments_updated_at,EXECUTE FUNCTION update_class_assignments_updated_at()
class_bookings,update_class_bookings_updated_at,EXECUTE FUNCTION update_class_bookings_updated_at()
class_packages,update_class_packages_updated_at,EXECUTE FUNCTION update_class_packages_updated_at()
class_schedules,update_class_schedules_updated_at,EXECUTE FUNCTION update_updated_at_column()
class_types,update_class_types_updated_at,EXECUTE FUNCTION update_updated_at_column()
instructor_availability,update_instructor_availability_updated_at,EXECUTE FUNCTION update_instructor_availability_updated_at()
newsletters,update_newsletters_updated_at,EXECUTE FUNCTION update_newsletters_updated_at()
class_bookings,update_participant_count_on_update,EXECUTE FUNCTION update_class_participant_count()
roles,update_roles_modtime,EXECUTE FUNCTION update_modified_column()
roles,update_roles_updated_at,EXECUTE FUNCTION update_roles_updated_at()
scheduled_classes,update_scheduled_classes_updated_at,EXECUTE FUNCTION update_scheduled_classes_updated_at()
subscription_plans,update_subscription_plans_updated_at,EXECUTE FUNCTION update_updated_at_column()
transactions,update_transactions_updated_at,EXECUTE FUNCTION update_updated_at_column()
user_packages,update_user_packages_updated_at,EXECUTE FUNCTION update_user_packages_updated_at()
user_preferences,update_user_preferences_updated_at,EXECUTE FUNCTION update_user_preferences_updated_at()
user_subscriptions,update_user_subscriptions_updated_at,EXECUTE FUNCTION update_updated_at_column()
